prodcode	dmdcode	gemscriptcode	drugissues	productname	drugsubstancename	substancestrength	formulation	routeofadministration	bnfchapter	bnftext	firstbuild	termfromemis
5811	615611000001106	79791020	265914	Concerta XL 36mg tablets (Janssen-Cilag Ltd)	Methylphenidate hydrochloride	36mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
56713	8572511000001108	10834020	31	Ritalin-SR 20mg tablets (Imported (United States))	Methylphenidate hydrochloride	20mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	August 2013	
79751	37408711000001108	88607021	1	Concerta XL 54mg tablets (CST Pharma Ltd)	Methylphenidate hydrochloride	54mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	January 2020	
35469	36124211000001103	93333020	7858	Methylphenidate 27mg modified-release tablets	Methylphenidate hydrochloride	27mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
46593	19375811000001104	99761020	13098	Medikinet XL 5mg capsules (Flynn Pharma Ltd)	Methylphenidate hydrochloride	5mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	December 2011	
576	323353008	79303020	219381	Methylphenidate 10mg tablets	Methylphenidate hydrochloride	10mg	Tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
52233	36124811000001102	10837020	1456	Methylphenidate 54mg modified-release tablets	Methylphenidate hydrochloride	54mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	January 2013	
21399	165245001000027109	70146020	567	Equasym xl 20mg Capsule (Celltech Pharma Europe Ltd)	Methylphenidate hydrochloride	20mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
71673	34248111000001107	76015021	9152	Xaggitin XL 18mg tablets (Ethypharm UK Ltd)	Methylphenidate hydrochloride	18mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2018	
11733	323359007	79305020	38117	Methylphenidate 20mg tablets	Methylphenidate hydrochloride	20mg	Tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
35659	11273711000001109	93321020	36316	Medikinet XL 20mg capsules (Flynn Pharma Ltd)	Methylphenidate hydrochloride	20mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
37097	11273111000001108	93309020	8549	Medikinet 5mg tablets (Flynn Pharma Ltd)	Methylphenidate hydrochloride	5mg	Tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
71787	28012911000001107	43055021	75	Methylphenidate 5mg/5ml oral suspension	Methylphenidate hydrochloride	1mg/1ml	Oral suspension	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	April 2018	
35515	36124611000001101	93325020	2496	Methylphenidate 40mg modified-release capsules	Methylphenidate hydrochloride	40mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
52461	20560911000001109	41947020	2	Equasym XL 10mg capsules (Waymade Healthcare Plc)	Methylphenidate hydrochloride	10mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	January 2013	
61800	27293711000001101	29759021	3275	Matoride XL 36mg tablets (Sandoz Ltd)	Methylphenidate hydrochloride	36mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	December 2014	
14848	36124311000001106	88946020	6723	Methylphenidate 30mg modified-release capsules	Methylphenidate hydrochloride	30mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
71672	34248611000001104	76018021	10848	Xaggitin XL 54mg tablets (Ethypharm UK Ltd)	Methylphenidate hydrochloride	54mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2018	
70164	34002411000001104	73894021	824	Delmosart 27mg modified-release tablets (Accord Healthcare Ltd)	Methylphenidate hydrochloride	27mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	September 2017	
61390	36124711000001105	25563021	211	Methylphenidate 50mg modified-release capsules	Methylphenidate hydrochloride	50mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	October 2014	
82299	37931111000001107	90906021	33	Ritalin XL 10mg capsules (Sandoz Ltd)	Methylphenidate hydrochloride	10mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	January 2021	
58055	36095311000001108	11012020	0	Dexmethylphenidate 10mg modified-release capsules	Dexmethylphenidate hydrochloride	10mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	December 2013	
23173	205811000001105	86351020	157	Tranquilyn 10mg tablets (Genesis Pharmaceuticals Ltd)	Methylphenidate hydrochloride	10mg	Tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
82593	18210111000001100	10840020	28	Equasym XL 30mg capsules (Mawdsley-Brooks & Company Ltd)	Methylphenidate hydrochloride	30mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	January 2021	
66845	16518811000001106	10574020	1	Concerta XL 36mg tablets (Mawdsley-Brooks & Company Ltd)	Methylphenidate hydrochloride	36mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	July 2016	
53527	20561311000001103	41948020	1	Equasym XL 30mg capsules (Waymade Healthcare Plc)	Methylphenidate hydrochloride	30mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	January 2013	
71483	34248811000001100	76017021	4498	Xaggitin XL 27mg tablets (Ethypharm UK Ltd)	Methylphenidate hydrochloride	27mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	January 2018	
62613	27787211000001109	31400021	9244	Xenidate XL 36mg tablets (Viatris UK Healthcare Ltd)	Methylphenidate hydrochloride	36mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	March 2015	
84765	37386811000001108	88604021	0	Concerta XL 36mg tablets (CST Pharma Ltd)	Methylphenidate hydrochloride	36mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	October 2021	
58678	7399811000001104	10838020	1	Concerta 54mg modified-release tablets (Imported (Belgium))	Methylphenidate hydrochloride	54mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	January 2014	
67872	32624711000001108	68399021	4065	Xenidate XL 27mg tablets (Viatris UK Healthcare Ltd)	Methylphenidate hydrochloride	27mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	October 2016	
82589	18205611000001103	10831020	66	Equasym XL 10mg capsules (Mawdsley-Brooks & Company Ltd)	Methylphenidate hydrochloride	10mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	January 2021	
63285	24510311000001109	26635021	46	Methylphenidate 60mg modified-release capsules	Methylphenidate hydrochloride	60mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	May 2015	
62487	27294411000001105	29760021	2678	Matoride XL 54mg tablets (Sandoz Ltd)	Methylphenidate hydrochloride	54mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	March 2015	
80599	37933011000001107	90909021	8	Ritalin XL 40mg capsules (Sandoz Ltd)	Methylphenidate hydrochloride	40mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	April 2020	
70004	34002811000001102	73895021	861	Delmosart 54mg modified-release tablets (Accord Healthcare Ltd)	Methylphenidate hydrochloride	54mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	September 2017	
54804	18577311000001104	10832020	4	Equasym XL 10mg capsules (DE Pharmaceuticals)	Methylphenidate hydrochloride	10mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	April 2013	
81498	37931511000001103	90907021	55	Ritalin XL 20mg capsules (Sandoz Ltd)	Methylphenidate hydrochloride	20mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	August 2020	
40477	134135001000027107	04450007	3	RITALIN 25 MG TAB					00000000	Unknown	October 2009	
