medcodeid	observations	originalreadcode	readcode	term	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	eth16	eth5
141521000000110	10000	9iA1	9iA1.00	Punjabi - ethnic category 2001 census	92641000000107	141521000000110		22	11. Other Asian	1. South Asian
141531000000112	1000	9iA2	9iA2.00	Kashmiri - ethnic category 2001 census	92651000000105	141531000000112		22	11. Other Asian	1. South Asian
141541000000115	8000	9iA3	9iA3.00	East African Asian - ethnic category 2001 census	92661000000108	141541000000115		22	11. Other Asian	1. South Asian
136081000000111	100000	9iA4	9iA4.00	Sri Lankan - ethnic category 2001 census	86461000000107	136081000000111		22	11. Other Asian	1. South Asian
141551000000117	10000	9iA5	9iA5.00	Tamil - ethnic category 2001 census	92671000000101	141551000000117		22	11. Other Asian	1. South Asian
157301000000116	2000	9iA6	9iA6.00	Sinhalese - ethnic category 2001 census	110781000000102	157301000000116		22	11. Other Asian	1. South Asian
141571000000114	4000	9iA7	9iA7.00	Caribbean Asian - ethnic category 2001 census	92691000000102	141571000000114		22	11. Other Asian	1. South Asian
141561000000119	80000	9iA8	9iA8.00	British Asian - ethnic category 2001 census	92681000000104	141561000000119		22	11. Other Asian	1. South Asian
141511000000116	20000	9iA9	9iA9.00	Mixed Asian - ethnic category 2001 census	92631000000103	141511000000116		22	11. Other Asian	1. South Asian
937651000006117	90000	9iAA	9iAA.00	Other Asian or Asian unspecified - ethnic category 2001 census	92701000000102	141581000000111		22	11. Other Asian	1. South Asian
1968171000006110	90000	9t0C	9t0C.00	Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census	976871000000103	2485111000000119		22	11. Other Asian	1. South Asian
1968341000006116	1000	9t1A	9t1A.00	Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census	977771000000105	2487001000000110		22	11. Other Asian	1. South Asian
1968521000006118	600	9t2B	9t2B.00	Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census	978211000000108	2487891000000113		22	11. Other Asian	1. South Asian
514611000006111	200000	9S2	9S2..00	Black Caribbean	185988007	285930014		22	12. Caribbean	2. Black
154401000000118	500000	9iB	9iB..00	Caribbean - ethnic category 2001 census	107691000000105	154401000000118		22	12. Caribbean	2. Black
1968191000006111	20000	9t0E	9t0E.00	Black or African or Caribbean or Black British: Caribbean - England and Wales ethnic category 2011 census	976911000000101	2485191000000111		22	12. Caribbean	2. Black
1968361000006117	300	9t1C	9t1C.00	Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census	977811000000105	2487081000000117		22	12. Caribbean	2. Black
1968551000006110	200	9t2E	9t2E.00	Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census	978271000000103	2488011000000113		22	12. Caribbean	2. Black
